content,content_clean,content_preprocessing,polarity_score,polarity
Edlink memang pualing topcer. 🤭👍,edlink memang pualing topcer 🤭,"['edlink', 'memang', 'pualing', 'topcer', '']",2,positive
Edlink baru minta update kok rada2 error' gak mau kebuka beranda nya..🤦,edlink baru minta update kok rada error gak mau kebuka beranda nya🤦,"['edlink', 'baru', 'minta', 'update', 'kok', 'rada', 'error', 'gak', 'mau', 'buka', 'beranda', 'nya']",-4,negative
Kuliah jadil lebih mudah.,kuliah jadil lebih mudah,"['kuliah', 'jadil', 'lebih', 'mudah']",3,positive
bgus,bgus,['bgus'],0,negative
Ada notif minta update. Klik lah update. Ga bs2. Akhirnya uninstal. Coba download lg. Eror ga bs dondload2. Sinyak bagus tpi ga bs download jg. Sinyal muter2 dr smlm. Udah coba direstrt hp ny ttp ga bs. Super bad jelek sejeelek2nya !!!!!!,ada notif minta update klik lah update ga bs akhirnya uninstal coba download lg eror ga bs dondload sinyak bagus tpi ga bs download jg sinyal muter dr smlm udah coba direstrt hp ny ttp ga bs super bad jelek sejeeleknya,"['notif', 'minta', 'update', 'klik', 'lah', 'update', 'ga', 'bs', 'akhir', 'uninstal', 'coba', 'download', 'lg', 'eror', 'ga', 'bs', 'dondload', 'sinyak', 'bagus', 'tpi', 'ga', 'bs', 'download', 'jg', 'sinyal', 'muter', 'dr', 'smlm', 'udah', 'coba', 'direstrt', 'hp', 'ny', 'ttp', 'ga', 'bs', 'super', 'bad', 'jelek', 'sejeeleknya']",-13,negative
Aplikasi ini sangat bermanfaat dan membantu saya dalam proses kuliah. Love edlink,aplikasi ini sangat bermanfaat dan membantu saya dalam proses kuliah love edlink,"['aplikasi', 'sangat', 'manfaat', 'bantu', 'proses', 'kuliah', 'love', 'edlink']",0,negative
Kerennn,kerennn,['kerennn'],0,negative
Bagi sekqli,bagi sekqli,['sekqli'],0,negative
Sangat membantu dalam proses perkuliahan,sangat membantu dalam proses perkuliahan,"['sangat', 'bantu', 'proses', 'kuliah']",-3,negative
Ini kenapa gak bisa buka tugas sama kolom komentar. Aku instal ulang juga lama progresnya. Kirain kuota ku tapi buka YouTube lancar lancar aja tolong dong ini urgent mau kuisss ni😭😭😭😭,ini kenapa gak bisa buka tugas sama kolom komentar aku instal ulang juga lama progresnya kirain kuota ku tapi buka youtube lancar lancar aja tolong dong ini urgent mau kuisss ni,"['gak', 'buka', 'tugas', 'sama', 'kolom', 'komentar', 'aku', 'instal', 'ulang', 'lama', 'progres', 'kirain', 'kuota', 'ku', 'buka', 'youtube', 'lancar', 'lancar', 'aja', 'dong', 'urgent', 'mau', 'kuisss', 'ni']",6,positive
"Min tolong buat penyimpanan personalnya kan cuma 100 MB, tambahin kapasitasnya yaa, soalnya kalau upload tugas kadang gk bisaa, karena udah full penyimpanannya, kalau yg udah ke upload di hapus, nanti tugas yg dlunya dikirim malah hilang 😭",min tolong buat penyimpanan personalnya kan cuma  mb tambahin kapasitasnya yaa soalnya kalau upload tugas kadang gk bisaa karena udah full penyimpanannya kalau yg udah ke upload di hapus nanti tugas yg dlunya dikirim malah hilang,"['min', 'buat', 'simpan', 'personal', 'kan', 'cuma', 'mb', 'tambahin', 'kapasitas', 'yaa', 'soal', 'kalau', 'upload', 'tugas', 'kadang', 'gk', 'bisaa', 'udah', 'full', 'simpan', 'kalau', 'yg', 'udah', 'upload', 'hapus', 'tugas', 'yg', 'dlunya', 'kirim', 'malah', 'hilang']",-9,negative
Mohon di bantu pinjaman nya,mohon di bantu pinjaman nya,"['mohon', 'bantu', 'pinjam', 'nya']",-1,negative
"User interface ribet, tidak bersahabat dengan pengguna. Dan tidak bisa mengunduh file materi",user interface ribet tidak bersahabat dengan pengguna dan tidak bisa mengunduh file materi,"['user', 'interface', 'ribet', 'sahabat', 'guna', 'unduh', 'file', 'materi']",-3,negative
Bermanfaatnya,bermanfaatnya,['manfaat'],5,positive
terdapat kesalahan pada saat saya mau membuka coment pasti loadingnya lama dan setelah itu langsung saja kembali ke layar utama,terdapat kesalahan pada saat saya mau membuka coment pasti loadingnya lama dan setelah itu langsung saja kembali ke layar utama,"['dapat', 'salah', 'mau', 'buka', 'coment', 'loadingnya', 'lama', 'langsung', 'layar', 'utama']",-1,negative
"Nggak bisa di buka loading terus pada hal internet lancar, mau ngumpulin tugas kuliah nggak bisa, mohon di perbaiki",nggak bisa di buka loading terus pada hal internet lancar mau ngumpulin tugas kuliah nggak bisa mohon di perbaiki,"['buka', 'loading', 'terus', 'internet', 'lancar', 'mau', 'ngumpulin', 'tugas', 'kuliah', 'mohon', 'baik']",6,positive
Edlink sangat membantu selama perkuliahan online ..Terima Kasih edlink,edlink sangat membantu selama perkuliahan online terima kasih edlink,"['edlink', 'sangat', 'bantu', 'lama', 'kuliah', 'online', 'terima', 'kasih', 'edlink']",-5,negative
Makin hari edlink makin rusak bahkan notifikasi tidak berfungsi sama sekali saya jadi lambat kuliah dan lambat mengumpulkan tugas Dikarenakan Notifikasi yang rusak,makin hari edlink makin rusak bahkan notifikasi tidak berfungsi sama sekali saya jadi lambat kuliah dan lambat mengumpulkan tugas dikarenakan notifikasi yang rusak,"['makin', 'hari', 'edlink', 'makin', 'rusak', 'bahkan', 'notifikasi', 'fungsi', 'sama', 'sekali', 'jadi', 'lambat', 'kuliah', 'lambat', 'kumpul', 'tugas', 'karena', 'notifikasi', 'rusak']",0,negative
Bagus buat belajar sendiri di rumah,bagus buat belajar sendiri di rumah,"['bagus', 'buat', 'ajar', 'sendiri', 'rumah']",-3,negative
Min ko edlik saya kaga mau kebuka ya padahal saya udh updet ko jadi lebih parah,min ko edlik saya kaga mau kebuka ya padahal saya udh updet ko jadi lebih parah,"['min', 'ko', 'edlik', 'kaga', 'mau', 'buka', 'padahal', 'udh', 'updet', 'ko', 'jadi', 'lebih', 'parah']",-1,negative
Mantap luar biasa....tapi kadang2 susah pas aplod tugas,mantap luar biasatapi kadang susah pas aplod tugas,"['mantap', 'luar', 'biasatapi', 'kadang', 'susah', 'pas', 'aplod', 'tugas']",7,positive
Mayan,mayan,['mayan'],0,negative
Terimakasih atas pembaruannya Jadi semakin mudah,terimakasih atas pembaruannya jadi semakin mudah,"['terimakasih', 'atas', 'baru', 'jadi', 'makin', 'mudah']",5,positive
Apk eror mohon cepat di perbarui min saya banyak tugas,apk eror mohon cepat di perbarui min saya banyak tugas,"['apk', 'eror', 'mohon', 'cepat', 'baru', 'min', 'banyak', 'tugas']",-5,negative
Kenapa wdlink saya gak bisa d buka Cuman gambarnya aja.apa solusi nya,kenapa wdlink saya gak bisa d buka cuman gambarnya ajaapa solusi nya,"['wdlink', 'gak', 'd', 'buka', 'cuman', 'gambar', 'ajaapa', 'solusi', 'nya']",2,positive
"Dulu saya pernah mendaftarkan Edlink terus sudah lama tidak saya pakek terus ini saya ganti hp saya login ke akun lama saya tidak bisa terus saya daftar ulang tulisannya sudah terdaftar ini emang gak boleh pakek edlink ya saya, saya juga sudah kirim email juga",dulu saya pernah mendaftarkan edlink terus sudah lama tidak saya pakek terus ini saya ganti hp saya login ke akun lama saya tidak bisa terus saya daftar ulang tulisannya sudah terdaftar ini emang gak boleh pakek edlink ya saya saya juga sudah kirim email juga,"['dulu', 'pernah', 'daftar', 'edlink', 'terus', 'lama', 'pakek', 'terus', 'ganti', 'hp', 'login', 'akun', 'lama', 'terus', 'daftar', 'ulang', 'tulis', 'daftar', 'emang', 'gak', 'pakek', 'edlink', 'kirim', 'email']",-12,negative
I like,i like,"['i', 'like']",0,negative
Kurang puas,kurang puas,"['kurang', 'puas']",0,negative
Min kenapa edlik nya error jadi susah buat belajar min gimana ini min,min kenapa edlik nya error jadi susah buat belajar min gimana ini min,"['min', 'edlik', 'nya', 'error', 'jadi', 'susah', 'buat', 'ajar', 'min', 'gimana', 'min']",-10,negative
Mantap memudahkan kuliah kami bnget,mantap memudahkan kuliah kami bnget,"['mantap', 'mudah', 'kuliah', 'bnget']",7,positive
Tolong mengerti terimakasih atas kunjungan Anda,tolong mengerti terimakasih atas kunjungan anda,"['erti', 'terimakasih', 'atas', 'kunjung']",1,positive
"Keren bgt, dan permudah mahasiswa utk belajar secara OL.",keren bgt dan permudah mahasiswa utk belajar secara ol,"['keren', 'bgt', 'mudah', 'mahasiswa', 'utk', 'ajar', 'ol']",1,positive
Ajib banget aplikasi nya;),ajib banget aplikasi nya,"['ajib', 'banget', 'aplikasi', 'nya']",-3,negative
"Memilih metode absensinya error, tidak bisa dipencet pilihannya, mohon developer segera memperbaikinya",memilih metode absensinya error tidak bisa dipencet pilihannya mohon developer segera memperbaikinya,"['pilih', 'metode', 'absensi', 'error', 'pencet', 'pilih', 'mohon', 'developer', 'segera', 'baik']",-14,negative
Bermanfaat sekali,bermanfaat sekali,"['manfaat', 'sekali']",4,positive
Kenapa sih sering disuruh update padahal baru beberapa hari aja?,kenapa sih sering disuruh update padahal baru beberapa hari aja,"['sih', 'sering', 'suruh', 'update', 'padahal', 'baru', 'beberapa', 'hari', 'aja']",2,positive
"Aplikasinya sering error', padahal sinyal saya bagus tetapi tertulis periksa jaringan anda . Saya mau absen jd susah. Tolong diperbaiki",aplikasinya sering error padahal sinyal saya bagus tetapi tertulis periksa jaringan anda  saya mau absen jd susah tolong diperbaiki,"['aplikasi', 'sering', 'error', 'padahal', 'sinyal', 'bagus', 'tulis', 'periksa', 'jaring', 'mau', 'absen', 'jd', 'susah', 'baik']",-10,negative
Kenapa selalu error gitu sih?? kuliah terbengkalai kalau begini terus. Mohon tindakan agar kedepannya bisa lebih baik,kenapa selalu error gitu sih kuliah terbengkalai kalau begini terus mohon tindakan agar kedepannya bisa lebih baik,"['selalu', 'error', 'gitu', 'sih', 'kuliah', 'bengkalai', 'kalau', 'begini', 'terus', 'mohon', 'tindak', 'depan', 'lebih', 'baik']",-5,negative
"Sering Error,trus minta update terus",sering errortrus minta update terus,"['sering', 'errortrus', 'minta', 'update', 'terus']",2,positive
Sering eror pada mau masuk app nya,sering eror pada mau masuk app nya,"['sering', 'eror', 'mau', 'masuk', 'app', 'nya']",0,negative
Payah.. kok edlink skrg gak ada nitif kalau dosen ngasih materi. Patch sebelumnya lancar jaya,payah kok edlink skrg gak ada nitif kalau dosen ngasih materi patch sebelumnya lancar jaya,"['payah', 'kok', 'edlink', 'skrg', 'gak', 'nitif', 'kalau', 'dosen', 'ngasih', 'materi', 'patch', 'belum', 'lancar', 'jaya']",6,positive
Bagiss,bagiss,['bagiss'],0,negative
Trimakasih,trimakasih,['trimakasih'],4,positive
Saya kasih bintang satu karna sering banget di minta update kalu satu bulan 1 kali gak papa tapi ini satu bulan bisa 2 kali😣,saya kasih bintang satu karna sering banget di minta update kalu satu bulan  kali gak papa tapi ini satu bulan bisa  kali,"['kasih', 'bintang', 'satu', 'karna', 'sering', 'banget', 'minta', 'update', 'kalu', 'satu', 'bulan', 'kali', 'gak', 'papa', 'satu', 'bulan', 'kali']",8,positive
"Aku sangat menyukai apk ini karena bagus banget buat ngumpulin tugas menerima, dan pemberitahuan dari setiap materi yang akan diberikan oleh dosen😊",aku sangat menyukai apk ini karena bagus banget buat ngumpulin tugas menerima dan pemberitahuan dari setiap materi yang akan diberikan oleh dosen,"['aku', 'sangat', 'suka', 'apk', 'bagus', 'banget', 'buat', 'ngumpulin', 'tugas', 'terima', 'pemberitahuan', 'materi', 'beri', 'dosen']",-1,negative
Kenapa edlinknya tidak bisa diperbaharui?,kenapa edlinknya tidak bisa diperbaharui,"['edlinknya', 'baharu']",0,negative
Aplikasi Makin Buruk Sekarang Gadak Notifikasi Mohon diperbaiki,aplikasi makin buruk sekarang gadak notifikasi mohon diperbaiki,"['aplikasi', 'makin', 'buruk', 'sekarang', 'gadak', 'notifikasi', 'mohon', 'baik']",-5,negative
Aplikasinya bagus...cuman mengapa selalu error ketika saya buka. Padahal aplikasi ini sangat penting bagi saya sebagai pembelajar...tolong diperbaiki lah...,aplikasinya baguscuman mengapa selalu error ketika saya buka padahal aplikasi ini sangat penting bagi saya sebagai pembelajartolong diperbaiki lah,"['aplikasi', 'baguscuman', 'selalu', 'error', 'buka', 'padahal', 'aplikasi', 'sangat', 'penting', 'pembelajartolong', 'baik', 'lah']",-14,negative
Ini bgmna cara pake aplikasi edlinknya biar bisa lihat materi yang di berikan sma dosen.,ini bgmna cara pake aplikasi edlinknya biar bisa lihat materi yang di berikan sma dosen,"['bgmna', 'cara', 'pake', 'aplikasi', 'edlinknya', 'biar', 'lihat', 'materi', 'ikan', 'sma', 'dosen']",-3,negative
Terlalu sering upgrade,terlalu sering upgrade,"['terlalu', 'sering', 'upgrade']",0,negative
Sering di perbarui,sering di perbarui,"['sering', 'baru']",3,positive
Mntap,mntap,['mntap'],0,negative
"Kok gk bisa login,",kok gk bisa login,"['kok', 'gk', 'login']",0,negative
Gitu aja dulu,gitu aja dulu,"['gitu', 'aja', 'dulu']",1,positive
Update nya ko nga bisa lama benget,update nya ko nga bisa lama benget,"['update', 'nya', 'ko', 'nga', 'lama', 'benget']",-4,negative
Banyak erornya,banyak erornya,"['banyak', 'eror']",-4,negative
Apk lemot banget,apk lemot banget,"['apk', 'lot', 'banget']",-4,negative
3 dulu aja,dulu aja,"['dulu', 'aja']",1,positive
Aplikasi jelek,aplikasi jelek,"['aplikasi', 'jelek']",-9,negative
Edlink tidak bisa di perbarui bagaimana ini ???,edlink tidak bisa di perbarui bagaimana ini,"['edlink', 'baru', 'bagaimana']",0,negative
edlink sering eror min,edlink sering eror min,"['edlink', 'sering', 'eror', 'min']",-1,negative
"Min kenapa si sring eror, minta di perbarui padahal ga ada perbarui di play store, kan jadinya ga bisa dibuka ini solusinya gmna.",min kenapa si sring eror minta di perbarui padahal ga ada perbarui di play store kan jadinya ga bisa dibuka ini solusinya gmna,"['min', 'si', 'sring', 'eror', 'minta', 'baru', 'padahal', 'ga', 'baru', 'play', 'store', 'kan', 'jadi', 'ga', 'buka', 'solusi', 'gmna']",-3,negative
Gatau,gatau,['gatau'],-1,negative
Aplikasi nya eror,aplikasi nya eror,"['aplikasi', 'nya', 'eror']",-8,negative
Tidak mendukung paket belajar,tidak mendukung paket belajar,"['dukung', 'paket', 'ajar']",6,positive
"Ini kok minta di perbarui,, tapi di buka di play store gak ada pembaruan????",ini kok minta di perbarui tapi di buka di play store gak ada pembaruan,"['kok', 'minta', 'baru', 'buka', 'play', 'store', 'gak', 'baru']",-1,negative
Keren jdi sarana belajar. Sangat Bagus,keren jdi sarana belajar sangat bagus,"['keren', 'jdi', 'sarana', 'ajar', 'sangat', 'bagus']",-6,negative
"Ingin kirim screenshot an nya tapi gpp deh. Min, kenapa ya gabisa dibuka padahal udah di update bbeberapa kali. Udah di uninstal pasang lagi, gitu aja terus. Masih gabisa masuk duh.",ingin kirim screenshot an nya tapi gpp deh min kenapa ya gabisa dibuka padahal udah di update bbeberapa kali udah di uninstal pasang lagi gitu aja terus masih gabisa masuk duh,"['kirim', 'screenshot', 'an', 'nya', 'gpp', 'deh', 'min', 'gabisa', 'buka', 'padahal', 'udah', 'update', 'bbeberapa', 'kali', 'udah', 'uninstal', 'pasang', 'gitu', 'aja', 'terus', 'gabisa', 'masuk', 'duh']",0,negative
Di update beberapa kali tetapi pas dibuka kembali apk nya malah di suruh update lagi,di update beberapa kali tetapi pas dibuka kembali apk nya malah di suruh update lagi,"['update', 'beberapa', 'kali', 'pas', 'buka', 'apk', 'nya', 'malah', 'suruh', 'update']",1,positive
Kenapa apk nya tidak bisa di perbarui???,kenapa apk nya tidak bisa di perbarui,"['apk', 'nya', 'baru']",0,negative
Updateeee Tapi Tak bisa di Update,updateeee tapi tak bisa di update,"['updateeee', 'tak', 'update']",0,negative
Aplikasi ribet,aplikasi ribet,"['aplikasi', 'ribet']",-8,negative
Sudah update kok masih ada notif perbarui??,sudah update kok masih ada notif perbarui,"['update', 'kok', 'notif', 'baru']",0,negative
Ucrh,ucrh,['ucrh'],0,negative
Tidak bisa masuk ke aplikasi,tidak bisa masuk ke aplikasi,"['masuk', 'aplikasi']",-7,negative
Alhamdulillah.. Aplikasi ini cukup membantu dan cocok digunakan dalam pembelajaran online,alhamdulillah aplikasi ini cukup membantu dan cocok digunakan dalam pembelajaran online,"['alhamdulillah', 'aplikasi', 'cukup', 'bantu', 'cocok', 'guna', 'ajar', 'online']",-5,negative
Kadang2 lemot sihh,kadang lemot sihh,"['kadang', 'lot', 'sihh']",-4,negative
"Aduh gw sudah update tapi masih di suruh update lagi,dan ngk bisa masuk, gimana ni?:(",aduh gw sudah update tapi masih di suruh update lagidan ngk bisa masuk gimana ni,"['aduh', 'gw', 'update', 'suruh', 'update', 'lagidan', 'ngk', 'masuk', 'gimana', 'ni']",-7,negative
Cukup bagus,cukup bagus,"['cukup', 'bagus']",-7,negative
Baii,baii,['baii'],0,negative
setangg..knpa eror lagi..,setanggknpa eror lagi,"['setanggknpa', 'eror']",-4,negative
"Maaf ini edlink nya kenapa ya, minta di perbarui. Sekali di perbarui tapi gak bisa juga. Tetap juga keluar.",maaf ini edlink nya kenapa ya minta di perbarui sekali di perbarui tapi gak bisa juga tetap juga keluar,"['maaf', 'edlink', 'nya', 'minta', 'baru', 'sekali', 'baru', 'gak', 'tetap', 'keluar']",-3,negative
iii,iii,['iii'],0,negative
"Setelah diperbaharui, sangat loading saat ingin meng upload tugas",setelah diperbaharui sangat loading saat ingin meng upload tugas,"['baharu', 'sangat', 'loading', 'meng', 'upload', 'tugas']",-3,negative
Udah diperbarui kok masih belum bisa masuk ya? Sering lemot juga setiap kali dibuka.,udah diperbarui kok masih belum bisa masuk ya sering lemot juga setiap kali dibuka,"['udah', 'baru', 'kok', 'masuk', 'sering', 'lot', 'kali', 'buka']",-5,negative
lumayan walaupun lelet,lumayan walaupun lelet,"['lumayan', 'walaupun', 'lelet']",-1,negative
MasyaAllah,masyaallah,['masyaallah'],0,negative
Sering loading ga bisa masuk,sering loading ga bisa masuk,"['sering', 'loading', 'ga', 'masuk']",0,negative
Apk ini bagus,apk ini bagus,"['apk', 'bagus']",-2,negative
"Di suruh update, sudah saya update tetep kembali diminta update, padahal tugas sudah menunggu dri dosen, tolong di perbaiki lagi 🙏",di suruh update sudah saya update tetep kembali diminta update padahal tugas sudah menunggu dri dosen tolong di perbaiki lagi,"['suruh', 'update', 'update', 'tetep', 'minta', 'update', 'padahal', 'tugas', 'tunggu', 'dri', 'dosen', 'baik']",-3,negative
"Min kenpa yah, aplikasinya sering eror ? Dan selain itu biasanya kalau aplikasinya eror kita bisa login melalui web, tapi skrg tidak bisa..?",min kenpa yah aplikasinya sering eror  dan selain itu biasanya kalau aplikasinya eror kita bisa login melalui web tapi skrg tidak bisa,"['min', 'kenpa', 'yah', 'aplikasi', 'sering', 'eror', 'biasa', 'kalau', 'aplikasi', 'eror', 'login', 'lalu', 'web', 'skrg']",-13,negative
"Loading ya lama bgt, padahal sinyal full tp muncul trs terdapat gangguan jaringan. Mohon perbaikan ya 🙏",loading ya lama bgt padahal sinyal full tp muncul trs terdapat gangguan jaringan mohon perbaikan ya,"['loading', 'lama', 'bgt', 'padahal', 'sinyal', 'full', 'tp', 'muncul', 'trs', 'dapat', 'ganggu', 'jaring', 'mohon', 'baik']",-5,negative
"Pake data ataupun wifi ga ada pengaruh sedikitpun, tetap saja lelet dan selalu ada pemberitahuan sambungan anda putus, padahal mke Yt dan apk lainnya lanjar jayaaaaa, mohon klarifikasinyaaaaa🤗",pake data ataupun wifi ga ada pengaruh sedikitpun tetap saja lelet dan selalu ada pemberitahuan sambungan anda putus padahal mke yt dan apk lainnya lanjar jayaaaaa mohon klarifikasinyaaaaa🤗,"['pake', 'data', 'atau', 'wifi', 'ga', 'pengaruh', 'sedikit', 'tetap', 'lelet', 'selalu', 'pemberitahuan', 'sambung', 'putus', 'padahal', 'mke', 'yt', 'apk', 'lain', 'lanjar', 'jayaaaaa', 'mohon', 'klarifikasinyaaaaa']",-15,negative
Gudd,gudd,['gudd'],0,negative
Keseringan eror,keseringan eror,"['sering', 'eror']",-1,negative
"Kadang error, saya kadang telat masuk jam kuliah soalnya edlink ny suka kluar sendiri..",kadang error saya kadang telat masuk jam kuliah soalnya edlink ny suka kluar sendiri,"['kadang', 'error', 'kadang', 'telat', 'masuk', 'jam', 'kuliah', 'soal', 'edlink', 'ny', 'suka', 'kluar', 'sendiri']",-10,negative
Ditingkatkn lgi ya developer,ditingkatkn lgi ya developer,"['ditingkatkn', 'lgi', 'developer']",0,negative
Suka lama kalau ngirim tugas selebihnya sih bagus,suka lama kalau ngirim tugas selebihnya sih bagus,"['suka', 'lama', 'kalau', 'ngirim', 'tugas', 'lebih', 'sih', 'bagus']",-5,negative
"Tolong untuk koneksinya diperbaiki diaplikasi android ataupun di web/di pc sering down, tolong diperbaiki",tolong untuk koneksinya diperbaiki diaplikasi android ataupun di webdi pc sering down tolong diperbaiki,"['koneksi', 'baik', 'aplikasi', 'android', 'atau', 'webdi', 'pc', 'sering', 'down', 'baik']",-2,negative
Nanti di tambah bintang nya kalo udah lancar make apk nyaa 🙂🙂,nanti di tambah bintang nya kalo udah lancar make apk nyaa,"['tambah', 'bintang', 'nya', 'kalo', 'udah', 'lancar', 'make', 'apk', 'nyaa']",5,positive
Keren bnget.,keren bnget,"['keren', 'bnget']",0,negative
Aplikasinya selalu Eror ketika lama kita buka aplikasinya,aplikasinya selalu eror ketika lama kita buka aplikasinya,"['aplikasi', 'selalu', 'eror', 'lama', 'buka', 'aplikasi']",-16,negative
"Mantap, aplikatif, efektif dan efisien",mantap aplikatif efektif dan efisien,"['mantap', 'aplikatif', 'efektif', 'efisien']",14,positive
Wow sangat bgus,wow sangat bgus,"['wow', 'sangat', 'bgus']",-2,negative
"Sinyal bagus tapi tetap tidak masuk, *pastikan jaringan wifi tersedia* padahal sinyal mangpret bro",sinyal bagus tapi tetap tidak masuk pastikan jaringan wifi tersedia padahal sinyal mangpret bro,"['sinyal', 'bagus', 'tetap', 'masuk', 'pasti', 'jaring', 'wifi', 'sedia', 'padahal', 'sinyal', 'mangpret', 'bro']",6,positive
Uploadnya tugasnya lama sampe abis waktunya😠,uploadnya tugasnya lama sampe abis waktunya,"['uploadnya', 'tugas', 'lama', 'sampe', 'abis', 'waktu']",-6,negative
"Saya sering mengirim tgs le dosen, terus di apk tertulis dikirm, tapi pas liat daftar orang yg mengumpulkan tgs nama saya gak ada, padahal saya udah ngirim tgs lohh dan akhrinya saya gak dapat nilai",saya sering mengirim tgs le dosen terus di apk tertulis dikirm tapi pas liat daftar orang yg mengumpulkan tgs nama saya gak ada padahal saya udah ngirim tgs lohh dan akhrinya saya gak dapat nilai,"['sering', 'kirim', 'tgs', 'le', 'dosen', 'terus', 'apk', 'tulis', 'dikirm', 'pas', 'liat', 'daftar', 'orang', 'yg', 'kumpul', 'tgs', 'nama', 'gak', 'padahal', 'udah', 'ngirim', 'tgs', 'lohh', 'akhrinya', 'gak', 'nilai']",12,positive
Bagaimana cara memperbaharui kemabli akun edlinya,bagaimana cara memperbaharui kemabli akun edlinya,"['bagaimana', 'cara', 'baharu', 'kemabli', 'akun', 'edlinya']",0,negative
Aplikasi bagus,aplikasi bagus,"['aplikasi', 'bagus']",-6,negative
"Setelah di update, saya share link google form, malah tidak bisa di klik sama mahasiswa. Semester depan, saya tidak mau pakai Edlink lagi.",setelah di update saya share link google form malah tidak bisa di klik sama mahasiswa semester depan saya tidak mau pakai edlink lagi,"['update', 'share', 'link', 'google', 'form', 'malah', 'klik', 'sama', 'mahasiswa', 'semester', 'depan', 'mau', 'pakai', 'edlink']",7,positive
Kok aplikasi edlink ny gk bisa kebuka... Ada tampilan pembaruan dan keluar.. Di klik pembaruan kagk muncul apa2,kok aplikasi edlink ny gk bisa kebuka ada tampilan pembaruan dan keluar di klik pembaruan kagk muncul apa,"['kok', 'aplikasi', 'edlink', 'ny', 'gk', 'buka', 'tampil', 'baru', 'keluar', 'klik', 'baru', 'kagk', 'muncul', 'apa']",-14,negative
Kok mau pasangnya lama bngt..hmpir satu jam,kok mau pasangnya lama bngthmpir satu jam,"['kok', 'mau', 'pasang', 'lama', 'bngthmpir', 'satu', 'jam']",6,positive
Lama uplod doang.,lama uplod doang,"['lama', 'uplod', 'doang']",-4,negative
Sampah,sampah,['sampah'],-4,negative
Lag terus kirim jawaban. Upload jawaban lama banget ada batas waktu juga,lag terus kirim jawaban upload jawaban lama banget ada batas waktu juga,"['lag', 'terus', 'kirim', 'jawab', 'upload', 'jawab', 'lama', 'banget', 'batas', 'waktu']",-8,negative
Aplikasi down terus mau ngirim tugas jd susah padahal waktu mepet,aplikasi down terus mau ngirim tugas jd susah padahal waktu mepet,"['aplikasi', 'down', 'terus', 'mau', 'ngirim', 'tugas', 'jd', 'susah', 'padahal', 'waktu', 'mepet']",-7,negative
Sering eror nilai aku 0 Gara gara eror,sering eror nilai aku  gara gara eror,"['sering', 'eror', 'nilai', 'aku', 'gara', 'gara', 'eror']",-7,negative
Kenpa gk bisa di perbarui gue mau belajar,kenpa gk bisa di perbarui gue mau belajar,"['kenpa', 'gk', 'baru', 'gue', 'mau', 'ajar']",2,positive
Okey kak makasih kak untuk infonya kak skrang notifnya suda ada kak♥️☺️,okey kak makasih kak untuk infonya kak skrang notifnya suda ada kak♥️☺️,"['okey', 'kak', 'makasih', 'kak', 'info', 'kak', 'skrang', 'notifnya', 'suda', 'kak']",1,positive
"Lola parah, gabisa login, udh login gabisa masuk kelas,, tolong di perbaiki. Mau UAS nih. Jangan sampe lagi uas kayak gini",lola parah gabisa login udh login gabisa masuk kelas tolong di perbaiki mau uas nih jangan sampe lagi uas kayak gini,"['lola', 'parah', 'gabisa', 'login', 'udh', 'login', 'gabisa', 'masuk', 'kelas', 'baik', 'mau', 'uas', 'nih', 'jangan', 'sampe', 'uas', 'kayak', 'gin']",-11,negative
Sangat membantu sekali,sangat membantu sekali,"['sangat', 'bantu', 'sekali']",-4,negative
Dengan aplikasi ini sangat membantu sya dalam artian tidak perlu kekampus dirumah saja bisa kuliah.,dengan aplikasi ini sangat membantu sya dalam artian tidak perlu kekampus dirumah saja bisa kuliah,"['aplikasi', 'sangat', 'bantu', 'sya', 'arti', 'perlu', 'kampus', 'rumah', 'kuliah']",-2,negative
Snagat Membantu sekali,snagat membantu sekali,"['snagat', 'bantu', 'sekali']",-2,negative
luas biasa,luas biasa,"['luas', 'biasa']",1,positive
Alhamdulillah Terimksh edlink di saat pandemi covid-19 sperti skrg memudahkan dlm melakukan aktivitas belajar magister secra online,alhamdulillah terimksh edlink di saat pandemi covid sperti skrg memudahkan dlm melakukan aktivitas belajar magister secra online,"['alhamdulillah', 'terimksh', 'edlink', 'pandemi', 'covid', 'sperti', 'skrg', 'mudah', 'dlm', 'laku', 'aktivitas', 'ajar', 'magister', 'secra', 'online']",1,positive
Bagus untuk buka tugas,bagus untuk buka tugas,"['bagus', 'buka', 'tugas']",-3,negative
"Sejauh ini aman aman saja . Mempermudah mengumpulkan tugas tanpa harus ngejar"" dosen 😎🤙",sejauh ini aman aman saja  mempermudah mengumpulkan tugas tanpa harus ngejar dosen 🤙,"['jauh', 'aman', 'aman', 'mudah', 'kumpul', 'tugas', 'ngejar', 'dosen', '']",-2,negative
kebanyakan tugas....,kebanyakan tugas,"['banyak', 'tugas']",-1,negative
Sangat senang sekali,sangat senang sekali,"['sangat', 'senang', 'sekali']",-2,negative
Lola aduhh,lola aduhh,"['lola', 'aduhh']",0,negative
Mohon maaf izin bertanya Cara mengubah bahasa sebelah mana min?,mohon maaf izin bertanya cara mengubah bahasa sebelah mana min,"['mohon', 'maaf', 'izin', 'tanya', 'cara', 'ubah', 'bahasa', 'belah', 'mana', 'min']",-14,negative
